detector,modality,call_id,slice,scenario,label,transcript,score,pred,outcome,T,I,F,E,XM,V,cold,warmth,n_words,density,p1,band,decision
lexical(text-proxy),text,synth_hb_25,synth-hard-benign,카드,0,명의 확인은 간단하게 끝나세요 안녕하세요 카드 상담 담당입니다 연회비랑 수수료 안내부터 도와드릴게요 제일 유리한 혜택으로 안내해 드릴게요 아 예 알겠어요 네 맞아요 그러셨어요 아 네 그 부분은 이해했어요 아 예 알겠어요 예 계속 얘기하셔도 돼요 아 그렇죠 아 그렇죠 그렇게 하는 게 좋겠네요 그러셨어요 그렇게 하는 게 좋겠네요 그렇게 하는 게 좋겠네요 잠시만요 그럼요 당연하죠 네 맞아요 저도 그렇게 생각했어요 잠시만요 아 예 반갑습니다 아 그렇죠 예예 듣고 있어요 그럼요 당연하죠 아 네 그 부분은 이해했어요 네 괜찮아요 그러셨어요 아 그런 일이 있으셨구나 그럼요 당연하죠 그럼요 당연하죠 네 여보세요 그러셨어요 아 그렇죠 아 그렇죠 아 예 반갑습니다 천천히 얘기해 주셔도 돼요 그럼요 당연하죠 예 계속 얘기하셔도 돼요 예 계속 얘기하셔도 돼요 네 맞아요 아 그렇죠 천천히 얘기해 주셔도 돼요 아 예 반갑습니다 네 여보세요 아 예 시간 괜찮아요 아 예 알겠어요 저도 그렇게 생각했어요 그러셨어요 그러시군요 그럼요 당연하죠 아 그렇죠 네 맞아요 아 예 시간 괜찮아요 아 네 그 부분은 이해했어요 아 그런 일이 있으셨구나 네 맞아요 음 그러네요 천천히 얘기해 주셔도 돼요 천천히 얘기해 주셔도 돼요 아 네 그 부분은 이해했어요 그러시군요 그렇게 하는 게 좋겠네요 그러셨어요 잠시만요 아 그렇죠 아 예 반갑습니다 그러셨어요 아 예 시간 괜찮아요 네 여보세요 아 네 그 부분은 이해했어요 아 예 반갑습니다 그러시군요 네 여보세요 네 맞아요 저도 그렇게 생각했어요 예 계속 얘기하셔도 돼요 천천히 얘기해 주셔도 돼요 천천히 얘기해 주셔도 돼요 네 여보세요 그렇게 하는 게 좋겠네요 예 한번 볼게요 네 여보세요 아 네 그 부분은 이해했어요 천천히 얘기해 주셔도 돼요 그렇게 하는 게 좋겠네요 음 그러네요 그러셨어요 아 그렇죠 네 여보세요 예 한번 볼게요 천천히 얘기해 주셔도 돼요 네 맞아요 예 계속 얘기하셔도 돼요 저도 그렇게 생각했어요 잠시만요 네 맞아요 네 맞아요 아 예 알겠어요 아 그런 일이 있으셨구나 잠시만요 네 맞아요 네 맞아요 예예 듣고 있어요 아 그렇죠 잠시만요 네 맞아요,4.0,1,FP,0,0,0,0,0,0,0,0,291,1.03,,,
lexical(text-proxy),text,synth_hb_121,synth-hard-benign,통신,0,그렇게 하는 게 좋겠네요 명의 변경은 인증 한 번이면 처리돼요 고객님 통신 요금 상담센터입니다 요금제는 계좌 이체로 등록해 두시면 편하세요 저도 그렇게 생각했어요 아 예 시간 괜찮아요 예예 듣고 있어요 결정은 편하실 때 하셔도 됩니다 아 예 시간 괜찮아요 그러시군요 예 한번 볼게요 아 예 반갑습니다 아 그렇죠 네 괜찮아요 아 그렇죠 아 예 시간 괜찮아요 음 그러네요 그러셨어요 그럼요 당연하죠 아 예 반갑습니다 아 예 알겠어요 그러셨어요 아 예 알겠어요 예 계속 얘기하셔도 돼요 네 여보세요 아 그렇죠 저도 그렇게 생각했어요 아 그렇죠 예 계속 얘기하셔도 돼요 그러시군요 그렇게 하는 게 좋겠네요 아 네 그 부분은 이해했어요 네 여보세요 아 그런 일이 있으셨구나 네 맞아요 아 그런 일이 있으셨구나 아 예 반갑습니다 네 괜찮아요 예 한번 볼게요 저도 그렇게 생각했어요 그럼요 당연하죠 아 네 그 부분은 이해했어요 그러시군요 네 맞아요 네 여보세요 네 괜찮아요 그럼요 당연하죠 그러시군요 예 한번 볼게요 잠시만요 예 한번 볼게요 그럼요 당연하죠 저도 그렇게 생각했어요 아 예 알겠어요 그렇게 하는 게 좋겠네요 아 예 시간 괜찮아요 예 계속 얘기하셔도 돼요 아 그런 일이 있으셨구나 네 여보세요 그럼요 당연하죠 음 그러네요 그럼요 당연하죠 아 예 알겠어요 그렇게 하는 게 좋겠네요 아 그런 일이 있으셨구나 아 예 시간 괜찮아요 음 그러네요 천천히 얘기해 주셔도 돼요 아 예 반갑습니다 아 예 반갑습니다 예 계속 얘기하셔도 돼요 예예 듣고 있어요 천천히 얘기해 주셔도 돼요 예 계속 얘기하셔도 돼요 예예 듣고 있어요 천천히 얘기해 주셔도 돼요 아 네 그 부분은 이해했어요 아 예 시간 괜찮아요,6.5,1,FP,0,0,0,0,0,0,0,0,235,2.13,,,
lexical(text-proxy),text,synth_hb_103,synth-hard-benign,통신,0,고객님 통신 요금 상담센터입니다 제가 자세히 설명드릴 테니 편하게 들으세요 요금제는 계좌 이체로 등록해 두시면 편하세요 예 계속 얘기하셔도 돼요 명의 변경은 인증 한 번이면 처리돼요 네 여보세요 아 그런 일이 있으셨구나 음 그러네요 아 네 그 부분은 이해했어요 그러시군요 네 맞아요 아 그런 일이 있으셨구나 예 계속 얘기하셔도 돼요 예 계속 얘기하셔도 돼요 아 예 시간 괜찮아요 그러셨어요 예 한번 볼게요 아 예 시간 괜찮아요 예 한번 볼게요 그럼요 당연하죠 네 맞아요 예 계속 얘기하셔도 돼요 아 예 시간 괜찮아요 네 맞아요 네 여보세요 아 예 반갑습니다 아 네 그 부분은 이해했어요 천천히 얘기해 주셔도 돼요 아 예 시간 괜찮아요 그렇게 하는 게 좋겠네요 저도 그렇게 생각했어요 천천히 얘기해 주셔도 돼요 저도 그렇게 생각했어요 네 여보세요 예예 듣고 있어요 네 맞아요 아 네 그 부분은 이해했어요 예 한번 볼게요 그러셨어요 아 예 알겠어요 아 네 그 부분은 이해했어요 잠시만요 네 맞아요 예예 듣고 있어요 그렇게 하는 게 좋겠네요 그러시군요 아 그런 일이 있으셨구나 그럼요 당연하죠 예 한번 볼게요 예 계속 얘기하셔도 돼요 예예 듣고 있어요 예 계속 얘기하셔도 돼요 아 네 그 부분은 이해했어요 아 예 알겠어요 예 계속 얘기하셔도 돼요 잠시만요 아 그런 일이 있으셨구나 천천히 얘기해 주셔도 돼요 아 예 알겠어요 예 한번 볼게요 저도 그렇게 생각했어요 아 예 시간 괜찮아요 그러시군요 저도 그렇게 생각했어요 아 예 알겠어요 아 예 알겠어요 잠시만요 예 한번 볼게요 그렇게 하는 게 좋겠네요 천천히 얘기해 주셔도 돼요 예 계속 얘기하셔도 돼요 네 괜찮아요 네 여보세요 아 그런 일이 있으셨구나 예 계속 얘기하셔도 돼요 아 예 알겠어요 네 맞아요 아 예 반갑습니다 그럼요 당연하죠 아 그렇죠 그러시군요 아 예 시간 괜찮아요 아 그렇죠 네 괜찮아요 아 예 반갑습니다 음 그러네요 그러시군요 그럼요 당연하죠 그럼요 당연하죠 예 계속 얘기하셔도 돼요 그러시군요 네 괜찮아요 천천히 얘기해 주셔도 돼요 그럼요 당연하죠 아 예 시간 괜찮아요 저도 그렇게 생각했어요 그렇게 하는 게 좋겠네요,6.5,1,FP,0,0,0,0,0,0,0,0,297,1.68,,,
lexical(text-proxy),text,synth_hb_180,synth-hard-benign,보험,0,예 계속 얘기하셔도 돼요 그럼요 당연하죠 아 네 그 부분은 이해했어요 그러시군요 필요하시면 자료도 메일로 보내드릴게요 보증금 관련해서도 안내해 드릴 수 있어요 잠시만요 네 보험 상담 도와드리는 상담원입니다 아 네 그 부분은 이해했어요 아 네 그 부분은 이해했어요 잠시만요 그러셨어요 천천히 검토하시고 결정하셔도 돼요 아 네 그 부분은 이해했어요 천천히 얘기해 주셔도 돼요 그럼요 당연하죠 그럼요 당연하죠 네 맞아요 그러시군요 아 예 알겠어요 그러시군요 네 맞아요 네 여보세요 아 네 그 부분은 이해했어요 그렇게 하는 게 좋겠네요 잠시만요 천천히 얘기해 주셔도 돼요 아 예 시간 괜찮아요 네 괜찮아요 잠시만요 저도 그렇게 생각했어요 그러시군요 그럼요 당연하죠 그럼요 당연하죠 아 그런 일이 있으셨구나 저도 그렇게 생각했어요 아 네 그 부분은 이해했어요 아 그런 일이 있으셨구나 네 맞아요 그럼요 당연하죠 네 맞아요 잠시만요 그렇게 하는 게 좋겠네요 네 맞아요 예 한번 볼게요 그럼요 당연하죠 그럼요 당연하죠 천천히 얘기해 주셔도 돼요 그러셨어요 음 그러네요 예 계속 얘기하셔도 돼요 아 네 그 부분은 이해했어요 그렇게 하는 게 좋겠네요 그러셨어요 천천히 얘기해 주셔도 돼요 아 그런 일이 있으셨구나 그러셨어요 예 계속 얘기하셔도 돼요 네 여보세요 네 괜찮아요 음 그러네요 그러시군요 그러시군요 네 괜찮아요 그러셨어요 저도 그렇게 생각했어요 그러시군요 아 예 반갑습니다 천천히 얘기해 주셔도 돼요 저도 그렇게 생각했어요 그러시군요 그러시군요 그러시군요 아 예 반갑습니다 그러시군요 예예 듣고 있어요 네 맞아요 아 예 반갑습니다 천천히 얘기해 주셔도 돼요 네 맞아요 아 그런 일이 있으셨구나 네 여보세요 음 그러네요 아 예 반갑습니다 그러시군요 음 그러네요 그러셨어요 아 예 시간 괜찮아요 네 괜찮아요 그러시군요 예예 듣고 있어요 아 그렇죠 예예 듣고 있어요 그러시군요 예 계속 얘기하셔도 돼요 저도 그렇게 생각했어요 저도 그렇게 생각했어요,1.5,1,FP,0,0,0,0,0,0,0,0,254,0.39,,,
lexical(text-proxy),text,fssaud_18265,easy-harm,,1,"아아 네, 3개월치 안 되시는 채무가 있으셔서 이 부분에 문제가 생기신 겁니다. 고객님께서 어떻게 세람하고 페퍼드 저쪽은요. 이쪽을 정리를 해주시고 저희 쪽 자금을 받아보시는 건 어떻겠어요. 고객님 그건 이제 개홀수가 안 되니까 네, 이 두 개가 걸리시는 거죠. 저희 쪽에 어떻게 이제 고객님이 이쪽을 정리해주신다 하시면 저희 쪽에서 바로 진행 가능하시고 이제 오늘 안으로 바로 송금 가능하시니까 송금 일단은 네네네, 그걸 해결을 해야 된다는 거네. 네네네, 근데 이제 세람하고 페퍼드 저쪽은행이잖아요. 네, 이쪽에서 한 군데만 이제 정리를 하셔도 저희 쪽에서 자금이 나가거든요. 두 개가 아니고 하나만요? 네, 고객님 같은 경우는 두 군데를 가지고 계시잖아요. 그런데 이제 고객님이 대출을 받으시는 게 필요해서 받으시는 건데 돈이 없어서 받으시는 건데 두 개 다 정리하시기는 어려울 거 아니에요. 네, 그러시니까 한 군데만 정리를 해주시면 저희 쪽에서 자금이 무렵히 나가거든요. 그런데 이제 이렇게 보시면 금액도 금액이다 보니까 좀 크신데요, 금액이. 네. 음, 500만 원이시잖아요. 이자만답고 하시고 페퍼 같은 경우는 이제 원리금 균등분할 방식으로 이제 내쉬고요. 그렇죠. 네, 네, 네. 카플러들은 저기 세람 걸 받아요. 네? 카플러들은 세람 걸 받고 하죠. 네, 그렇죠. 그리고 이자가 34%로 페퍼는 25%인데. 아, 네. 고객님, 그르셔 봤자 어차피 이제 세람을 고객님께서 갚아 버리시잖아요. 네, 그르셔도 페퍼 저 측은행이 저희 쪽으로 오게 돼 있어요. 대환이 돼요. 네. 제가 말씀드리는 거는 한 군데만 정리하셔도 페퍼 저 측은행이 저희 쪽으로 대환이 가능하시다고 말씀드리는 거예요. 아, 네. 네, 네. 음, 이제 고객님께서 세람을 이제 잠시만요. 500만 원이시잖아요. 만약에 정말로 힘드시다고 하시면 제가 우선 과장님한테 말씀 올려서 이제 아, 이 부분이 너무 힘드시다 하셔서 아니면 그냥 일부만 변제하시겠다 하셨다 이렇게 말씀을 드릴 수 있으세요. 네, 어떻게 고객님 이거 변제 가능하신 건가요? 그러면. 힘들죠. 아, 많이 힘드세요. 그러니까 이제 일부만 변제하시면 되세요. 우선 먼저 일부를 변제하신다며 고객님께서 연체를 안 하시겠다 하여 이제 저희 쪽에서 진행이 가능한 거니까요. 일부를 얼마나. 우선 지금 나오시는 부분에서 이제 3분의 1이죠. 이제 150만 원 먼저 이제 일부 다 뽑아주시고요. 변제해 주시고요. 이제 변제 잠시만요. 이제 150만 원 먼저 변제하시고 이제 그리고 고객님께서 이따가 과장님한테 지금 전화가 가실 거래요. 그러면 그때는 연체 안 하시겠다 이렇게 말만 잘 하시면 무리없이 무리없이 그냥 오늘 안에 한 4시간에까지는 자금이 나가시고요.",14.5,1,TP,0,0,0,0,0,0,0,0,335,4.18,,,
lexical(text-proxy),text,emotion_dialog_00915,easy-benign,,0,[AI-Hub transcript redacted — rebuild per docs/DATA_ACCESS.md],1.0,1,FP,0,0,0,0,0,0,0,0,293,0.34,,,
lexical(text-proxy),text,synth_hb_88,synth-hard-benign,병원,0,천천히 검토하시고 정하셔도 괜찮아요 예 계속 얘기하셔도 돼요 건강검진 예약 도와드리는 상담원입니다 아 그렇죠 네 여보세요 수수료 관련 안내도 함께 도와드릴게요 천천히 얘기해 주셔도 돼요 결과는 등기로 보내드리니 안심하세요 그러셨어요 그러시군요 그럼요 당연하죠 예예 듣고 있어요 예 한번 볼게요 아 그런 일이 있으셨구나 그러시군요 네 여보세요 예예 듣고 있어요 아 그런 일이 있으셨구나 아 네 그 부분은 이해했어요 아 예 반갑습니다 아 예 알겠어요 그렇게 하는 게 좋겠네요 예 계속 얘기하셔도 돼요 아 그런 일이 있으셨구나 잠시만요 예 계속 얘기하셔도 돼요 잠시만요 네 괜찮아요 아 예 알겠어요 음 그러네요 네 괜찮아요 그러시군요 그러셨어요 그렇게 하는 게 좋겠네요 저도 그렇게 생각했어요 그러시군요 아 예 시간 괜찮아요 그러시군요 아 예 알겠어요 예예 듣고 있어요 아 그렇죠 아 예 알겠어요 아 그렇죠 예예 듣고 있어요 네 여보세요 아 예 알겠어요 그럼요 당연하죠 아 네 그 부분은 이해했어요 천천히 얘기해 주셔도 돼요 그렇게 하는 게 좋겠네요 네 맞아요 아 예 반갑습니다 예 계속 얘기하셔도 돼요 아 네 그 부분은 이해했어요 아 네 그 부분은 이해했어요 아 그런 일이 있으셨구나 음 그러네요 아 예 반갑습니다 네 여보세요 천천히 얘기해 주셔도 돼요 예 한번 볼게요 아 예 알겠어요 아 예 반갑습니다 네 여보세요 천천히 얘기해 주셔도 돼요 천천히 얘기해 주셔도 돼요 네 괜찮아요 예예 듣고 있어요 잠시만요 예 한번 볼게요 아 예 시간 괜찮아요 아 예 반갑습니다 아 예 시간 괜찮아요 예 계속 얘기하셔도 돼요 예 계속 얘기하셔도 돼요 천천히 얘기해 주셔도 돼요 아 예 반갑습니다 아 예 알겠어요 그렇게 하는 게 좋겠네요,2.5,1,FP,0,0,0,0,0,0,0,0,237,0.84,,,
lexical(text-proxy),text,synth_hh_43,synth-hard-harm,환급사칭,1,제가 도와드리면 오래 안 걸리고 받으실 수 있어요 고객님 돌려받으실 게 하나 남아 있어서 연락드렸어요 고객님만 조용히 진행하시면 문제없어요 기한 지나면 못 받으시니까 아까워서 알려드리는 거예요 아 그렇죠 그러셨어요 아 그런 일이 있으셨구나 그러셨어요 아 그렇죠 네 여보세요 아 예 알겠어요 음 그러네요 아 예 시간 괜찮아요 그렇게 하는 게 좋겠네요 그러셨어요 아 그런 일이 있으셨구나 잠시만요 예예 듣고 있어요 아 예 반갑습니다 음 그러네요 아 그렇죠 아 예 알겠어요 아 예 반갑습니다 잠시만요 천천히 얘기해 주셔도 돼요 아 네 그 부분은 이해했어요 예예 듣고 있어요 아 예 반갑습니다 예예 듣고 있어요 예 계속 얘기하셔도 돼요 잠시만요 네 여보세요 예 한번 볼게요 아 네 그 부분은 이해했어요 예 한번 볼게요 예 계속 얘기하셔도 돼요 그러셨어요 네 맞아요 아 네 그 부분은 이해했어요 잠시만요 네 맞아요 아 예 알겠어요 아 그렇죠 아 예 시간 괜찮아요 예 계속 얘기하셔도 돼요 저도 그렇게 생각했어요 잠시만요 아 그렇죠 아 네 그 부분은 이해했어요 아 예 알겠어요 그러셨어요 아 예 시간 괜찮아요 그러셨어요 그렇게 하는 게 좋겠네요 그러시군요 예 계속 얘기하셔도 돼요 네 괜찮아요 아 그런 일이 있으셨구나 그럼요 당연하죠 그러시군요 아 예 반갑습니다 아 그런 일이 있으셨구나 천천히 얘기해 주셔도 돼요 아 네 그 부분은 이해했어요 아 그렇죠 네 괜찮아요 아 예 반갑습니다 음 그러네요 그러셨어요 음 그러네요 네 괜찮아요 음 그러네요 네 여보세요,0.0,1,TP,0,0,0,0,0,0,0,0,210,0.0,,,
lexical(text-proxy),text,emotion_dialog_00163,easy-benign,,0,[AI-Hub transcript redacted — rebuild per docs/DATA_ACCESS.md],2.0,1,FP,0,0,0,0,0,0,0,0,301,0.66,,,
lexical(text-proxy),text,synth_hh_0,synth-hard-harm,택배사칭,1,이거 그냥 두시면 물건이 다시 돌아가 버려요 네 맞아요 네 맞아요 고객님 앞으로 온 물건이 하나 반송될 뻔했더라고요 그러시군요 아 그런 일이 있으셨구나 음 그러네요 조금만 늦으면 저도 도와드리기 어려워져요 다른 분들도 이렇게 간단히 찾으셨어요 아 그런 일이 있으셨구나 아 예 알겠어요 아 예 알겠어요 예예 듣고 있어요 음 그러네요 아 예 반갑습니다 아 그렇죠 그럼요 당연하죠 그러시군요 그렇게 하는 게 좋겠네요 네 괜찮아요 아 예 시간 괜찮아요 그러시군요 아 네 그 부분은 이해했어요 음 그러네요 그러시군요 네 맞아요 음 그러네요 네 괜찮아요 네 여보세요 아 예 알겠어요 음 그러네요 네 맞아요 그러셨어요 예예 듣고 있어요 아 예 반갑습니다 아 예 시간 괜찮아요 네 맞아요 그러시군요 아 네 그 부분은 이해했어요 천천히 얘기해 주셔도 돼요 그렇게 하는 게 좋겠네요 아 예 알겠어요 네 괜찮아요 저도 그렇게 생각했어요 아 예 반갑습니다 아 예 알겠어요 아 예 시간 괜찮아요 네 여보세요 천천히 얘기해 주셔도 돼요 예 한번 볼게요 아 네 그 부분은 이해했어요 그러시군요 그렇게 하는 게 좋겠네요 예 한번 볼게요 천천히 얘기해 주셔도 돼요 아 네 그 부분은 이해했어요 저도 그렇게 생각했어요 예 계속 얘기하셔도 돼요 잠시만요 아 그런 일이 있으셨구나 천천히 얘기해 주셔도 돼요 아 예 알겠어요 아 그렇죠 천천히 얘기해 주셔도 돼요,0.0,1,TP,0,0,0,0,0,0,0,0,193,0.0,,,
